study,fixture_id,competition,packet_hash,call_index,status,generation_id,schema_version,prompt_version,packet_schema_version,resolved_model_id,input_tokens,output_tokens,latency_s,cost_usd,cache_hit,reject_field,reject_reason,created_unix
repeatability,mt_012238074,champ,00a9d2c83cec29cdc3d7a5bdafefaed9147c0dd0605fd72f2d8f144909ce4ee7,2,OK,LLM_MATCHUP_V2,football_state_schema_v3,sonnet_prompt_v3,fixture_evidence_packet_v3,us.anthropic.claude-sonnet-4-5-20250929-v1:0,29573,6361,58.008,0.184134,False,,,1789271852
repeatability,mt_196560601,epl,27f5ce156140f2243fd159c74c75ce544e8e3953c2a96680af536754e7f0ee83,0,LLM_STATE_REJECTED,LLM_MATCHUP_V2,football_state_schema_v3,sonnet_prompt_v3,fixture_evidence_packet_v3,us.anthropic.claude-sonnet-4-5-20250929-v1:0,31277,6168,56.832,0.186351,False,team_a_states[10]/evidence_ids,cited id not in packet: A_DIS_interceptions_for_c9840e,1789272019
repeatability,mt_196560601,epl,27f5ce156140f2243fd159c74c75ce544e8e3953c2a96680af536754e7f0ee83,1,OK,LLM_MATCHUP_V2,football_state_schema_v3,sonnet_prompt_v3,fixture_evidence_packet_v3,us.anthropic.claude-sonnet-4-5-20250929-v1:0,31277,5932,54.044,0.182811,False,,,1789272019
repeatability,mt_196560601,epl,27f5ce156140f2243fd159c74c75ce544e8e3953c2a96680af536754e7f0ee83,2,OK,LLM_MATCHUP_V2,football_state_schema_v3,sonnet_prompt_v3,fixture_evidence_packet_v3,us.anthropic.claude-sonnet-4-5-20250929-v1:0,31277,6117,56.374,0.185586,False,,,1789272019
repeatability,mt_257078632,laliga,8f84f9951620922ba940cfafa4ef4f3b9d898948ed17908de60f2744b82707c6,0,OK,LLM_MATCHUP_V2,football_state_schema_v3,sonnet_prompt_v3,fixture_evidence_packet_v3,us.anthropic.claude-sonnet-4-5-20250929-v1:0,31324,5580,50.99,0.177672,False,,,1789272174
repeatability,mt_257078632,laliga,8f84f9951620922ba940cfafa4ef4f3b9d898948ed17908de60f2744b82707c6,1,OK,LLM_MATCHUP_V2,football_state_schema_v3,sonnet_prompt_v3,fixture_evidence_packet_v3,us.anthropic.claude-sonnet-4-5-20250929-v1:0,31324,5607,51.941,0.178077,False,,,1789272174
repeatability,mt_257078632,laliga,8f84f9951620922ba940cfafa4ef4f3b9d898948ed17908de60f2744b82707c6,2,OK,LLM_MATCHUP_V2,football_state_schema_v3,sonnet_prompt_v3,fixture_evidence_packet_v3,us.anthropic.claude-sonnet-4-5-20250929-v1:0,31324,5607,51.625,0.178077,False,,,1789272174
repeatability,mt_361806747,laliga2,1ba4ffd6deb72ad93fe4aec6e43b4d99025c11bb26f0ba2e0cb6566d3143202f,0,OK,LLM_MATCHUP_V2,football_state_schema_v3,sonnet_prompt_v3,fixture_evidence_packet_v3,us.anthropic.claude-sonnet-4-5-20250929-v1:0,31735,5610,50.898,0.179355,False,,,1789272328
repeatability,mt_361806747,laliga2,1ba4ffd6deb72ad93fe4aec6e43b4d99025c11bb26f0ba2e0cb6566d3143202f,1,OK,LLM_MATCHUP_V2,football_state_schema_v3,sonnet_prompt_v3,fixture_evidence_packet_v3,us.anthropic.claude-sonnet-4-5-20250929-v1:0,31735,5641,51.012,0.17982,False,,,1789272328
repeatability,mt_361806747,laliga2,1ba4ffd6deb72ad93fe4aec6e43b4d99025c11bb26f0ba2e0cb6566d3143202f,2,OK,LLM_MATCHUP_V2,football_state_schema_v3,sonnet_prompt_v3,fixture_evidence_packet_v3,us.anthropic.claude-sonnet-4-5-20250929-v1:0,31735,5813,51.727,0.1824,False,,,1789272328
repeatability,mt_257018652,ligue1,adbe16697c89ecb5f5f8a77f6ed96964d7869b4b18d6a5e1167302627a2a31d4,0,OK,LLM_MATCHUP_V2,football_state_schema_v3,sonnet_prompt_v3,fixture_evidence_packet_v3,us.anthropic.claude-sonnet-4-5-20250929-v1:0,30890,6200,57.144,0.18567,False,,,1789272504
repeatability,mt_257018652,ligue1,adbe16697c89ecb5f5f8a77f6ed96964d7869b4b18d6a5e1167302627a2a31d4,1,OK,LLM_MATCHUP_V2,football_state_schema_v3,sonnet_prompt_v3,fixture_evidence_packet_v3,us.anthropic.claude-sonnet-4-5-20250929-v1:0,30890,6578,59.041,0.19134,False,,,1789272504
repeatability,mt_257018652,ligue1,adbe16697c89ecb5f5f8a77f6ed96964d7869b4b18d6a5e1167302627a2a31d4,2,OK,LLM_MATCHUP_V2,football_state_schema_v3,sonnet_prompt_v3,fixture_evidence_packet_v3,us.anthropic.claude-sonnet-4-5-20250929-v1:0,30890,6530,59.716,0.19062,False,,,1789272504
repeatability,mt_362652308,ligue2,756e9e896ab30b20925f2250c49b65fc16a31811c36dfe70af435af4d811682f,0,OK,LLM_MATCHUP_V2,football_state_schema_v3,sonnet_prompt_v3,fixture_evidence_packet_v3,us.anthropic.claude-sonnet-4-5-20250929-v1:0,31184,5329,49.23,0.173487,False,,,1789272653
repeatability,mt_362652308,ligue2,756e9e896ab30b20925f2250c49b65fc16a31811c36dfe70af435af4d811682f,1,OK,LLM_MATCHUP_V2,football_state_schema_v3,sonnet_prompt_v3,fixture_evidence_packet_v3,us.anthropic.claude-sonnet-4-5-20250929-v1:0,31184,5350,49.507,0.173802,False,,,1789272653
repeatability,mt_362652308,ligue2,756e9e896ab30b20925f2250c49b65fc16a31811c36dfe70af435af4d811682f,2,OK,LLM_MATCHUP_V2,football_state_schema_v3,sonnet_prompt_v3,fixture_evidence_packet_v3,us.anthropic.claude-sonnet-4-5-20250929-v1:0,31184,5435,49.804,0.175077,False,,,1789272653
repeatability,mt_743352721,champ,a363aef772180e4a00b1f0b9163e9ee9ec9bd9550e7079a4f6bfd9a5811f2515,0,OK,LLM_MATCHUP_V2,football_state_schema_v3,sonnet_prompt_v3,fixture_evidence_packet_v3,us.anthropic.claude-sonnet-4-5-20250929-v1:0,29889,5901,51.399,0.178182,False,,,1789272807
repeatability,mt_743352721,champ,a363aef772180e4a00b1f0b9163e9ee9ec9bd9550e7079a4f6bfd9a5811f2515,1,OK,LLM_MATCHUP_V2,football_state_schema_v3,sonnet_prompt_v3,fixture_evidence_packet_v3,us.anthropic.claude-sonnet-4-5-20250929-v1:0,29889,5901,51.424,0.178182,False,,,1789272807
repeatability,mt_743352721,champ,a363aef772180e4a00b1f0b9163e9ee9ec9bd9550e7079a4f6bfd9a5811f2515,2,OK,LLM_MATCHUP_V2,football_state_schema_v3,sonnet_prompt_v3,fixture_evidence_packet_v3,us.anthropic.claude-sonnet-4-5-20250929-v1:0,29889,5872,51.347,0.177747,False,,,1789272807
repeatability,mt_629493933,epl,5e4dd2b1bbab130f090202497685e05404178107364c5859bdbdad0f8eb76053,0,LLM_STATE_REJECTED,LLM_MATCHUP_V2,football_state_schema_v3,sonnet_prompt_v3,fixture_evidence_packet_v3,us.anthropic.claude-sonnet-4-5-20250929-v1:0,31378,5621,111.259,0.178449,False,team_a_states[7]/evidence_ids,cited id not in packet: A_DEF_final_third_entries_for_28124b,1789273141
repeatability,mt_629493933,epl,5e4dd2b1bbab130f090202497685e05404178107364c5859bdbdad0f8eb76053,1,OK,LLM_MATCHUP_V2,football_state_schema_v3,sonnet_prompt_v3,fixture_evidence_packet_v3,us.anthropic.claude-sonnet-4-5-20250929-v1:0,31378,5490,171.92,0.176484,False,,,1789273141
repeatability,mt_629493933,epl,5e4dd2b1bbab130f090202497685e05404178107364c5859bdbdad0f8eb76053,2,OK,LLM_MATCHUP_V2,football_state_schema_v3,sonnet_prompt_v3,fixture_evidence_packet_v3,us.anthropic.claude-sonnet-4-5-20250929-v1:0,31378,5490,49.913,0.176484,False,,,1789273141
repeatability,mt_408681608,laliga,8e14df90b2863ce429a5e0366b4fe19cfaa450d3e5eaa7e9a2eeae2d11baf2ae,0,OK,LLM_MATCHUP_V2,football_state_schema_v3,sonnet_prompt_v3,fixture_evidence_packet_v3,us.anthropic.claude-sonnet-4-5-20250929-v1:0,30853,5384,48.684,0.173319,False,,,1789273290
repeatability,mt_408681608,laliga,8e14df90b2863ce429a5e0366b4fe19cfaa450d3e5eaa7e9a2eeae2d11baf2ae,1,OK,LLM_MATCHUP_V2,football_state_schema_v3,sonnet_prompt_v3,fixture_evidence_packet_v3,us.anthropic.claude-sonnet-4-5-20250929-v1:0,30853,5659,51.537,0.177444,False,,,1789273290
repeatability,mt_408681608,laliga,8e14df90b2863ce429a5e0366b4fe19cfaa450d3e5eaa7e9a2eeae2d11baf2ae,2,OK,LLM_MATCHUP_V2,football_state_schema_v3,sonnet_prompt_v3,fixture_evidence_packet_v3,us.anthropic.claude-sonnet-4-5-20250929-v1:0,30853,5384,49.367,0.173319,False,,,1789273290
repeatability,mt_629312415,laliga2,7e0c3e2358e98408412e0f89c144ce5ae382ae812271bb72e37c8576bafad713,0,LLM_STATE_UNAVAILABLE,LLM_MATCHUP_V2,football_state_schema_v3,sonnet_prompt_v3,fixture_evidence_packet_v3,,,,,0.0,,,,1789273714
repeatability,mt_629312415,laliga2,7e0c3e2358e98408412e0f89c144ce5ae382ae812271bb72e37c8576bafad713,1,OK,LLM_MATCHUP_V2,football_state_schema_v3,sonnet_prompt_v3,fixture_evidence_packet_v3,us.anthropic.claude-sonnet-4-5-20250929-v1:0,32115,6251,59.619,0.19011,False,,,1789273714
repeatability,mt_629312415,laliga2,7e0c3e2358e98408412e0f89c144ce5ae382ae812271bb72e37c8576bafad713,2,OK,LLM_MATCHUP_V2,football_state_schema_v3,sonnet_prompt_v3,fixture_evidence_packet_v3,us.anthropic.claude-sonnet-4-5-20250929-v1:0,32115,6251,59.27,0.19011,False,,,1789273714
